Purchased Date,School Year Purchased,Agency Name,LEAID,Technology,Purchase Description,Total Cost,Notes,Comment
7/12/16,2016-2017,Decatur ISD,4816500,Gaggle,gaggle learning management system service from 7/1/2016 to 6/30/2017,"$9,135 ",,
8/10/17,2017-2018,Decatur ISD,4816500,Gaggle,gaggle student email,"$7,197 ",,
8/10/17,2017-2018,Decatur ISD,4816500,Gaggle,gaggle student email,"$3,303 ",,
5/9/18,2017-2018,Decatur ISD,4816500,Gaggle,student email management,"$24,475 ",,
4/13/21,2020-2021,Decatur ISD,4816500,Gaggle,Gaggle student email,"$19,150 ",,
1/30/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,IT - GO Guardian Chromebook Mo,$113.70 ,,
2/12/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,GO Guardian Chromebook Monitor,$85.62 ,,
2/19/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,IT Project #3 - GO Guardian Ch,$85.62 ,,
4/30/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$1,993.30 ",,
4/30/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$1,186.20 ",,
4/30/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,Prorated an additional 4 months through 7/31/2016,$663.40 ,,
4/30/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,Prorated an additional 4 months through 7/31/2016,$396 ,,
5/5/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$455 ,,
5/5/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,Prorated through 7/31/2016,$113.75 ,,
5/6/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$195 ,,
5/7/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$585 ,,
5/7/15,2014-2015,Del Valle Independent School District,4816620,Go Guardian,Prorated through 7/31/2016,$146.25 ,,
7/23/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$1,137.50 ",,
9/9/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$179 ,,
9/22/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$572 ,,
9/22/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$298 ,,
10/22/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$625.60 ,,
10/26/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,GS license: Go guardian for teachers - classroom management solution.,"$3,731 ",,
11/12/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$155.84 ,,
11/19/15,2015-2016,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$487.50 ,,
9/30/16,2016-2017,Del Valle Independent School District,4816620,Go Guardian,annual licenses go guardian teacher DVHS- Annual licenses Gogaurdian teacher,"$7,038.90 ",,
4/18/17,2016-2017,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$5 ,,
4/18/17,2016-2017,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$5 ,,
4/20/17,2016-2017,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$5 ,,
5/9/17,2016-2017,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$19.20 ,,
5/12/17,2016-2017,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$3.20 ,,
6/27/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$12,650 ",,
7/18/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,Go Guardian Teachers,$656.25 ,,
7/18/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$656.25 ,,
7/20/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$33 ,,
7/24/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr","$6,499 ",,
7/24/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,GoGuardian Teacher 1 yr,"$5,286.50 ",,
8/4/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$33 ,,
8/22/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$306.60 ,,
9/19/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr","$2,037 ",,
9/19/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,GoGuardian for Teachers,"$2,037 ",,
9/19/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$945 ,,
9/19/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,GoGuardian for Teachers,$945 ,,
11/6/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$5.25 ,,
11/8/17,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$15.75 ,,
1/8/18,2017-2018,Del Valle Independent School District,4816620,Go Guardian,Popham - GO Guardian Chromeboo,$105 ,,
1/8/18,2017-2018,Del Valle Independent School District,4816620,Go Guardian,"Go Guardian Administrators, 1yr",$105 ,,
1/29/18,2017-2018,Del Valle Independent School District,4816620,Go Guardian,HS- GO Guardian Chromebook Mon,"$1,050 ",,
7/10/20,2020-2021,Del Valle Independent School District,4816620,Go Guardian,District GO Guardian Chromebook Monitoring License,"$35,251.20 ",,
9/28/15,2015-2016,Donna Independent School District,4817390,Gaggle,Payment needed for Gaggle . Invoice #29744 Service start date was 7/1/2008-6/30/2009 Payment never processed Who: Technology Dept. What: Gaggle Where: DISD When: 7/1/2008-06-/30/2009 why: Payment needs to be processed. Invoice musthavebeenoverlookedandpaymentwasnot,"$26,088 ",,
7/13/16,2016-2017,Dumas ISD,4817610,Securly,Securly Anywhere FilteringFirst of 3 Annual Payments,"$8,140 ",,
7/3/17,2017-2018,Dumas ISD,4817610,Securly,Inv 37890 2nd pymnt of Securly,"$8,140 ",,
7/10/18,2018-2019,Dumas ISD,4817610,Securly,Securly - Final payment,"$8,140 ",,
8/12/19,2019-2020,East Chambers ISD,4817880,Social Sentinel,Social Sentinel Consortium,"$2,795.35 ",,
8/16/17,2017-2018,Edgewood ISD,4818120,Gaggle,ONLINE LEARNING,"$35,150 ","Confirmed they used to use, but said they don't anymore. Awaiting callback from finance person. ",
1/30/15,2014-2015,El Campo ISD,4818280,Gaggle,29460 STAFF DEV TRAINING,"$5,360 ",,
1/30/15,2014-2015,El Campo ISD,4818280,Gaggle,29460 STAFF DEV TRAINING,"$2,000 ",,
9/14/17,2017-2018,El Campo ISD,4818280,Gaggle,ALR-WEBHOST/STUDENT EMAIL,"$21,448 ",,
10/18/18,2018-2019,El Campo ISD,4818280,Gaggle,ALR Student Safe Email,"$25,220 ",,
3/29/19,2018-2019,El Campo ISD,4818280,Go Guardian,10084644 GO GUARDIAN SOFTWAR,"$9,887.28 ",,
9/30/19,2019-2020,El Campo ISD,4818280,Gaggle,38591 ALR - Student Email,"$5,264 ",,
9/30/19,2019-2020,El Campo ISD,4818280,Gaggle,38591 ALR - Student Email,"$5,264 ",,
9/30/19,2019-2020,El Campo ISD,4818280,Gaggle,38591 ALR - Student Email,"$5,264 ",,
9/30/19,2019-2020,El Campo ISD,4818280,Gaggle,38591 ALR - Student Email,"$5,264 ",,
9/30/19,2019-2020,El Campo ISD,4818280,Gaggle,38591 ALR - Student Email,"$5,264 ",,
3/26/19,2018-2019,Everman ISD,4818810,Gaggle,Setup Fee One Time Setup Fee,$900 ,,"""1. Why did the District purchase this technology? Who recommended it to you? What, if any,  instigating incident was there that made you purchase this technology?
GoGuardian: Why: Provided to assist classroom teachers with monitoring and keep students on  task during online instructional activities. Who: Instructional Technology became aware of the product during a session  presented by GoGuardian at a Texas Compute Educators Association (TCEA) Conference. What: Teachers had expressed concern about how to monitor and manage student  use of online instructional resources.
Gaggle: Why: To assist with limiting: potential predatory contact, child pornography, threats  of violence and gun violence, mental-health crises (social-emotional), and  suicide threats. Who: Instructional Technology in conjunction with the Technology Department  reviewed the product and determined that it would help provide administrative staff with information for appropriate decision-making.ContentKeeper Why: In order to receive the FCC’s E-Rate discounts for Category 1 and Category 2  services, the District is required to certify that we maintain content filtering  services on a yearly basis. This is known as the Children’s Internet Protection  Act (CIPA) requirement. This service provides a granular, age appropriate control of specific web applications and filters out inappropriate content. Who: A system of this type has been in place since the District received its first E Rate Discounts in 1998. What: In addition to requiring this to certify our District for E-Rate, it also helps keep  students on task and safe during online instruction.
2. What exactly does/did this technology do for the District? (Ie. social media monitoring, email  monitoring, web filter, Chromebook management, web history tracking, location tracking etc.  Please include all functionality your district has access to with these technologies.)
GoGuardian: What: Interacts with any/all content the student uses during the class period(s). Functionality: Teachers can use this to supplement the content filtering provided by ContentKeeper if they notice inappropriate sites, and may also use it to keep  children on task during class. Gaggle: What: Monitors and reports on the content of student classroom based: Gmail, Google Drive, Google Hangouts, Google Calendaring, and Google App Content  where they include: potential predatory contact, child pornography, threats  of violence and gun violence, mental-health crises (social-emotional), and  suicide threats. ContentKeeper: What: Monitors any/all requests to the web. Functionality: Blocks access to inappropriate material using heuristics, global  feedback, custom local access policies, and provides role-based permissions  based on user type and grade level.
3. Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
GoGuardian: Yes – we still use this and are renewing it for an additional year. It’s still worth it as it  allows the teacher to keep the students engaged and on-task. Gaggle: Yes – we still use this and are renewing it for an additional year. Ensuring that  students who are having issues receive assistance, and that students are kept safe  from violence, self-harm and other threatening situations is at the core of what we  do and this tool helps us address these situations proactively. ContentKeeper: Yes – it helps keep students away from inappropriate material, and is require to  receive discounts for internet access, wide-area network and infrastructure  equipment discounts from the FCC’s E-Rate program.
4. Is this technology used on all students in the District or just a certain subset? Is it used on any  employees or community members? GoGuardian: This is used only by classroom teachers and campus administrators to monitor  online student activities. Gaggle: This product only monitors District sponsored Google Classroom and related accounts information. ContentKeeper: Applies to all students and staff. Access to web content varies depending on grade level. Staff and administration have a bit broader access in order to conduct business. This is also applied to students at home, when using District supplied devices.
5. Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go  Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring  students' social media or email? GoGuardian: Yes – Teachers use to track websites that a student visits for inappropriate and  unsuitable content during student in-classroom online activity. Gaggle: Yes – Social media or email that is tied to their Everman ISD/Google Classroom account. ContentKeeper: Yes – All content retrieved from the web.
6. Were students or their parents ever notified or informed in any way about the use of this  technology? If so, how? Could students or parents ""opt-out""? ContentKeeper: Yes – The District was required to provide a public reading at the board meeting during their first year of E-Rate requests (1998).  No – Students and Parents may not opt-out as E-Rate program rules require this be  in place to continue to receive discounts on Internet Access. Policy CQ addresses this in the section titled “Children’s Internet Protect Act.” Additionally, the Elementary and Secondary Education Act when purchasing computers not covered by CIPA  required content filtering. Finally, this is part of the Student, and Employee  Acceptable Use Policy and Codes of Conduct. Everman ISD applies content filtering  to all campuses and even to student connectivity when using District devices at  home or outside the District Network.
7. What policies did/do you have in place specifically governing the use of this technology by  District officials?
GoGuardian: The District’s Employee Acceptable Use Policy combined with a structured set of  system controls are in place to prevent access to information by unauthorized staff  outside of the local campus/classroom jurisdiction. Gaggle: The District’s Employee Acceptable Use Policy combined with a structured set of  system controls are in place to prevent access to information by unauthorized staff.  See Exhibit A for specific information on who has access to information which is  escalated to staff as needing immediate attention. Access by users to reports is  logged by date and time. ContentKeeper: Policy CQ, the District’s Employee Acceptable Use Policy and tightly limited access to  the controls and reports of this system ensure that students are protected. Reports  are only pulled if a request is approved after review by a Chief Level Position. 
8. Who all has/had access to reports/alerts generated by this technology? GoGuardian: Teachers, Campus Administrators at their campus only. Gaggle See Exhibit A. ContentKeeper The Technology Department Network Services Team members with reports by  specific request with a Chief’s Review and Approval.
9. Can you name a specific instance where this technology helped prevent an instance of imminent  violence or self-harm?
GoGuardian: This product is generally used to keep kids on task and away from content that is not  relevant to the current assignment or classwork.
Gaggle: Technology has helped prevent situations from occurring and provided schools  notice that students may need intervention. 
ContentKeeper: This product is used to block inappropriate material and is not focused on providing  insight on imminent violence or self-harm. With that said, it does NOT block access  to materials that assist with suicide prevention, bullying or other ways to escape  violence, while blocking sites that promote these types of behavior.
10. Have you ever used this technology for purposes other than the prevention of self-harm or  violence? If so, how?
GoGuardian: Yes – This product isn’t intended to prevent self-harm or violence, but is a tool to be used to monitor classroom online activity.
Gaggle: Yes – This product also monitors for Questionable Content (Nudity, profanity, etc.)
ContentKeeper: Yes – This product keeps students from accessing material about how to self-harm or  ways to inflict violence upon others (knives, guns, etc.) as well as preventing access  to information about drugs while allowing sites that provide information on  prevention, avoidance or the management of these situations.
11. Has the use of this technology ever led to a student being disciplined in any way (including but  not limited to being arrested, expelled, suspended or put in detention)? If so, please describe  these specific instances.
GoGuardian: This product is generally used in the classroom so feedback is localized and  immediate. Inappropriate use is used as a teachable moment in the classroom, and  an opportunity to discuss internet safety and appropriateness.
Gaggle: Technology has helped prevent situations from occurring and provided schools  notice that students may need intervention. 
ContentKeeper: This product is generally not used as a reporting tool unless reports are specifically  requested. We unaware of any instances of it being used for this purpose, but there  is a possibility that its logs have been used in the past for purpose of providing  backup documentation for reported incidents prior to the implementation of Gaggle."" ""Parents were notified of the use of Gaggle in the general safety letter sent home.  I have included the information from the letter (this was last year's letter):
  The following are just some of the steps we implement to ensure that our learning environments are as safe and secure as possible: ● Lockdown, evacuation, shelter, and fire emergency drills are practiced a minimum of once per semester to ensure readiness for a variety of scenarios. ● School Resource Officers are assigned at campuses. ● Visitor entry to schools is limited to secured main entrances that require entry through the main office. ● STOPIt Anonymous Reporting App available to students, staff, and parents. ● Gaggle network monitoring system. ● Camera surveillance  
No parents can't opt-out of Gaggle network monitoring.

Go Guardian is part of the monitoring and acceptable use policy when using EISD equipment."" -Nikita Russell, Executive Director of Public Relations"
3/26/19,2018-2019,Everman ISD,4818810,Gaggle,online software program 1yr (4/1/19-3/31/20) Gaggle Safty Mgmt for Google-student,"$24,035 ",,
7/24/19,2019-2020,Everman ISD,4818810,Go Guardian,GO GUARDIAN SUBSCRIPTION CB CLASSROOM MANAGEMENT PROGRAM - 1 YR,"$23,850 ",,
3/25/20,2019-2020,Everman ISD,4818810,Gaggle,2020-21 Renewal (Drive+email) Safety Management for Google - Student,"$23,303.75 ",,
7/13/20,2020-2021,Everman ISD,4818810,Go Guardian,"GO GUARDIAN TEACHER SUBSCRIPTION RENEWAL, 1 YEAR","$21,777 ",,
10/30/20,2020-2021,Everman ISD,4818810,Gaggle,"GAGGLE SAFETY MGMT FOR STUDENT, DRIVE + EMAIL, PRE K-2, PRO-RATE 11/1/20 - 3/31/21","$9,728.75 ",,
9/2/16,2016-2017,Flour Bluff Independent School District,4819380,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE-STUDENT,"$18,500 ",,
9/7/17,2017-2018,Flour Bluff Independent School District,4819380,Gaggle,Gaggle Safety Management for Google - Student 2017-2018 School Year,"$19,900 ",,
9/4/18,2018-2019,Flour Bluff Independent School District,4819380,Gaggle,Gaggle Safety Management for Google-Student,"$19,900 ",,
9/12/19,2019-2020,Flour Bluff Independent School District,4819380,Gaggle,Gaggle Safety Management for Google-Student,"$20,200 ",,
10/1/20,2020-2021,Flour Bluff Independent School District,4819380,Gaggle,"INV #40234. Due 08/22/2020. Orig. Amount $23,210.00. Sugar Quote #50263","$23,210 ",,
7/26/16,2016-2017,Forney Independent School District,4819560,Go Guardian,Go Guardian - Subscription License (4 Years),$319.60 ,,
7/26/16,2016-2017,Forney Independent School District,4819560,Go Guardian,Go Guardian for Teachers - Subscription License (4 Years),$319.60 ,,
8/18/16,2016-2017,Forney Independent School District,4819560,Go Guardian,Go Guardian - Subscription License (4 Years),$31.96 ,,
8/18/16,2016-2017,Forney Independent School District,4819560,Go Guardian,Go Guardian for Teachers - Subscription License (4 Years),$31.96 ,,
11/15/16,2016-2017,Forney Independent School District,4819560,Go Guardian,Go Guardian License,$439.45 ,,
8/14/18,2018-2019,Forney Independent School District,4819560,Securly,Securly Anywhere Web Filtering,"$66,500 ",,
11/16/20,2020-2021,Forney Independent School District,4819560,Securly,SECURLY://24 1 year license - Quote 001054,"$8,500.67 ",,
10/10/16,2016-2017,Friendswood Independent School District,4819950,Go Guardian,GO GUARDIAN FOR ADMINISTRATORS YEARLY LICENSE,$292.50 ,,
2/27/17,2016-2017,Friendswood Independent School District,4819950,Go Guardian,GG-TCR1Y-000001 GOGUARDIAN TEACHERS; 1 YR; QTY: 1-499,$225 ,,
9/9/15,2015-2016,Gainesville Independent School District,4820220,Gaggle,Student Email Filtering,"$7,875 ",,
9/8/16,2016-2017,Gainesville Independent School District,4820220,Gaggle,Gaggle Safety Management GMail,"$9,180 ",,
9/1/17,2017-2018,Gainesville Independent School District,4820220,Gaggle,Gaggle Safety Management GMailStudent email filter annual renewal,"$8,435 ",,
9/27/18,2018-2019,Gainesville Independent School District,4820220,Gaggle,OFFICIAL,$125 ,,
9/27/18,2018-2019,Gainesville Independent School District,4820220,Gaggle,1819 Student Email Filter,"$8,663 ",,
9/6/19,2019-2020,Gainesville Independent School District,4820220,Gaggle,Student email Gaggle renewal,"$9,380 ",,
9/8/20,2020-2021,Gainesville Independent School District,4820220,Gaggle,Gaggle_Student Google Email [District] Student Email Monitor/Archive,"$10,762.50 ",,
9/10/20,2020-2021,Gainesville Independent School District,4820220,Gaggle,Gaggle_Student Google Email,"$10,762.50 ",,
4/28/15,2014-2015,Galveston Independent School District,4820280,Gaggle,ARCHIVING EMAIL - EXCHANGE - FIVE YEAR RETENTION SERV START: 5/1/2015 SERV END: 4/30/2016,"$15,750 ",,
9/14/15,2015-2016,Galveston Independent School District,4820280,Gaggle,"GAGGLE LEARNING MANAGEMENT SYSTEM INCLUDES: EMAIL, GAGGLE SAFETY ************************************************************** PRICE INCLUDES SHIPPING **************************************************************","$33,670 ",,
10/21/16,2016-2017,Galveston Independent School District,4820280,Gaggle,ARCHIVING EMAIL - OFFICE 365,"$7,875 ",,
10/21/16,2016-2017,Galveston Independent School District,4820280,Gaggle,ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) SERV START 5/1/2016 SERV END 4/30/2017 ********************************************************** PRICE INCLUDES SHIPPING **********************************************************,"$7,340 ",,
5/9/17,2016-2017,Galveston Independent School District,4820280,Gaggle,ARCHIVING EMAIL - OFFICE 365,"$10,080 ",,
5/9/17,2016-2017,Galveston Independent School District,4820280,Gaggle,ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) SERV START 5/1/2017 SERV END 4/30/2018 ********************************************************** PRICE INCLUDES SHIPPING **********************************************************,"$7,460 ",,
3/21/18,2017-2018,Galveston Independent School District,4820280,Go Guardian,GO GUARDIAN FOR ADMINS. SUBSCRIPTION LICENSE (3YRS),$482.30 ,,
4/5/18,2017-2018,Galveston Independent School District,4820280,Gaggle,ARCHIVING EMAIL - OFFICE 365,"$10,675 ",,
4/5/18,2017-2018,Galveston Independent School District,4820280,Gaggle,ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) (STAFF O365) SERV START 5/1/2018 SERV END 4/30/2019 ********************************************************** PRICE INCLUDES SHIPPING - NO MEDIA **********************************************************,"$8,260 ",,
4/12/19,2018-2019,Galveston Independent School District,4820280,Gaggle,"SUBSCRIPTION RENEWAL Technology Equip, Supplies, Software exp 12-31-2018","$20,885 ",,
11/12/19,2019-2020,Galveston Independent School District,4820280,Go Guardian,GO GUARDIAN ADMIN/TEACHER BUNDLE,$621.50 ,,
11/15/19,2019-2020,Galveston Independent School District,4820280,Go Guardian,GO GUARDIAN ADMIN/TEACHER BUNDLE,$509.60 ,,
3/6/20,2019-2020,Galveston Independent School District,4820280,Gaggle,ARCHIVING WAREHOUSE ACCOUNT (DORMANT LICENSE) - STAFF - START DATE ********************************************************** PRICE INCLUDES SHIPPING - NO MEDIA **********************************************************,"$9,960 ",,
3/6/20,2019-2020,Galveston Independent School District,4820280,Gaggle,ARCHIVING EMAIL - OFFICE 365 (STAFF) - START DATE 05/01/2020 - END DATE,"$12,110 ",,
5/29/20,2019-2020,Galveston Independent School District,4820280,Go Guardian,go guardian admin 43 month rolling orders,$156.24 ,,
12/8/16,2016-2017,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$985 ,"Mentions Go Guardian on Technology website on the ""Student Information"" page. Also mentions on Teacher Information site, with links to GG webpage. Parent information site has marketing brochure linked. ",
12/8/16,2016-2017,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,"$1,970 ",,
12/8/16,2016-2017,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$985 ,,
10/19/17,2017-2018,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/17,2017-2018,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/17,2017-2018,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/17,2017-2018,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/17,2017-2018,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
10/19/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN,$928 ,,
11/16/18,2018-2019,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN BEACON,"$2,412 ",,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$1,628 ",,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$1,628 ",,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$1,628 ",,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,$250 ,,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,$250 ,,
10/4/19,2019-2020,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,$250 ,,
10/5/20,2020-2021,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$2,053.13 ",,
10/5/20,2020-2021,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$2,053.13 ",,
10/5/20,2020-2021,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$2,053.13 ",,
10/5/20,2020-2021,Ganado Independent School District,4820310,Go Guardian,GO GUARDIAN SUBSCRIPTION,"$2,053.11 ",,
8/30/17,2017-2018,Garrison Independent School District,4820400,Gaggle,Gaggle email Safety renewal,"$2,100 ",,
8/20/18,2018-2019,Garrison Independent School District,4820400,Gaggle,Gaggle Renewal Gaggle Renewal - Email filtering,"$2,415 ",,
8/22/18,2018-2019,Garrison Independent School District,4820400,Securly,Securly Web Filter Renewal Securly Anywhere Filter (800 licenses),"$5,000 ",,
8/12/19,2019-2020,Garrison Independent School District,4820400,Securly,Securly Web Filter Renewal Securly Web Filter Renewal (1 year),"$5,504 ",,
12/11/20,2020-2021,Garrison Independent School District,4820400,Securly,Securly Classroom Securly Classroom (ChromeTools),"$2,948 ",,
7/13/15,2015-2016,Georgetown Independent School District,4820600,Gaggle,Archiving Email - Office 365,"$12,600 ",,
7/13/15,2015-2016,Georgetown Independent School District,4820600,Gaggle,Account Migration of Existing Data Migration of LightSpeed Archived Data to Gaggle TERM: 12 month annual Quote valid for 90 days,"$7,200 ",,
7/16/15,2015-2016,Georgetown Independent School District,4820600,Gaggle,"Gaggle Safety Management for Office 365 Email - Students Pricing Term: 12 Month Service Term: July 1, 2015 - June 30, 2016","$31,150 ",,
7/28/15,2015-2016,Georgetown Independent School District,4820600,Gaggle,TECH LINE 119 - Student Email Filtering,"$31,150 ",,
8/10/15,2015-2016,Georgetown Independent School District,4820600,Gaggle,TECH LINE 128 - Archiving Email/Migration of LightSpeed Archived Data,"$19,800 ",,
7/27/15,2015-2016,Godley Independent School District,4820960,Go Guardian,Go Guardian License,"$7,150 ",,
10/3/15,2015-2016,Godley Independent School District,4820960,Gaggle,Yearly Subscription - Gaggle Student Email Monitoring,"$5,310 ",,
6/23/16,2016-2017,Godley Independent School District,4820960,Gaggle,"Gaggle Safety Management for Google Email - Students (7/1/16-9/30/16) Parts, Repair, Software and Supplies 1.1.2 Rational for purchase as stated in the district's state approved technology plan (Texas e-Plan):------ The district will provide technology opportunities including equipment, software, advanced technology and instruction for every grade level and core curriculum as appropriated.","$1,479 ",,
9/20/16,2016-2017,Godley Independent School District,4820960,Gaggle,"Gaggle Safety Management for Google Email - Students Parts, Repair, Software and Supplies 1.1.2 Rational for purchase as stated in the district's state approved technology plan (Texas e-Plan):------ The district will provide technology opportunities including equipment, software, advanced technology and instruction for every grade level and core curriculum as appropriated.","$5,950 ",,
9/1/17,2017-2018,Godley Independent School District,4820960,Gaggle,"Gaggle Safety Management for Google Email - Students Parts, Repair, Software and Supplies 1.1.2 Rational for purchase as stated in the district's state approved technology plan (Texas e-Plan):------ The district will provide technology opportunities including equipment, software, advanced technology and instruction for every grade level and core curriculum as appropriated.","$5,950 ",,
9/7/18,2018-2019,Godley Independent School District,4820960,Gaggle,Gaggle Student Email monitoring renewal,"$5,950 ",,
9/11/19,2019-2020,Godley Independent School District,4820960,Gaggle,"Gaggle Quote # 50869 Gaggle Safety Management for Google - Students (Drive Parts, Repair, Software and Supplies 1.1.2 Rational for purchase as stated in the district's state approved technology plan (Texas e-Plan):------ The district will provide technology opportunities including equipment, software, advanced technology and instruction for every grade level and core curriculum as appropriated.","$10,753 ",,
9/28/17,2017-2018,Gorman Independent School District,4821270,Go Guardian,GO GUARDIAN,$921.60 ,,
12/5/19,2019-2020,Grapevine-Colleyville Independent School District,4821660,Gaggle,Gaggle Safety Management Audit,"$4,995 ",,
7/1/20,2020-2021,Grapevine-Colleyville Independent School District,4821660,Gaggle,renwal 7/1/2020 through,"$4,995 ",,
7/1/20,2020-2021,Grapevine-Colleyville Independent School District,4821660,Gaggle,renwal 7/1/2020 through,"$49,500 ",,
7/1/20,2020-2021,Grapevine-Colleyville Independent School District,4821660,Gaggle,renwal 7/1/2020 through,"$3,000 ",,
5/16/19,2018-2019,Greenville Independent School District,4821720,Securly,Annual 3YR Agreement Payment 1: Securly Anywhere Filter Securly://24 Auditor DO NOT MAIL OR FAX. RETURN TO ORIGINATOR,"$16,008.30 ",,
