DistrictName,SchoolYearPurchased,Technology,NumberStudents,PurchasedDate,PurchaseDescription,TotalCost,Notes,Comment
CELINA ISD,2017-2018,Go Guardian,2576,8/14/17,GO GUARDIAN,$130.68 ,,"""We have not used GoGuardian for years and have no further comment."" - Marilyn Chaberlin, Technology Director"
CELINA ISD,2017-2018,Go Guardian,2576,9/11/17,GO GUARDIAN ADMIN TEACHER,"$1,069.20 ",,
CHANNELVIEW ISD,2018-2019,Social Sentinel,9593,2/1/19,ANNL-SVC-NE - Social Sentinel Service Annual Data Fee - Period 1 Contract: BuyBoard / 498-15 12/01/2018 - 11/30/2019,"$2,568 ",,
CHANNELVIEW ISD,2018-2019,Social Sentinel,9593,2/1/19,ANNL-SVC-NE - Social Sentinel Service Annual Service Fee - Period 1 Contract: BuyBoard / 498-15 12/01/2018 - 11/30/2019,"$15,408 ",,
CHICO ISD,2015-2016,Go Guardian,616,1/19/16,Go Guardian F/T Adm Bundle 1yr,"$1,141 ",,
CHICO ISD,2015-2016,Gaggle,616,12/9/15,Student Email for 4th & 5th Gr,$277 ,,
CHICO ISD,2015-2016,Gaggle,616,9/11/15,GAGGLE EMAIL SERVICES,"$1,225 ",,
CHICO ISD,2016-2017,Gaggle,603,9/14/16,GOOGLE STUDENT 9/1/-8/31/17,"$3,000 ",,
CHICO ISD,2017-2018,Securly,608,11/8/17,SECURLY WEB FILTER YEAR 2,"$4,018.67 ",,
CHICO ISD,2017-2018,Gaggle,608,9/8/17,2017-2018 MEMBERSHIP STUDENT,"$3,090 ",,
CHICO ISD,2018-2019,Gaggle,603,9/7/18,STUDENT SAFETY MGMT,"$3,090 ",,
CHICO ISD,2019-2020,Securly,596,10/3/19,CLOUD BASED FILTERING,"$3,008.06 ",,
CHICO ISD,2019-2020,Gaggle,596,9/10/19,STUDENT GOOGLE SAFET STUDENT GOOGLE SAFETY MGMT,"$3,090 ",,
CHINA SPRING ISD,2017-2018,Go Guardian,2756,4/23/18,Go Guardian Licenses,"$3,614.20 ",,
CLEAR CREEK ISD,2018-2019,Social Sentinel,42205,7/24/18,"SOCIAL SENTINEL - ANNUAL PERIOD ONE - DA TA SOCIAL SENTINEL, INC. - PART#: -DATAF-1 CONTRACT NAME: TIPS - TECHNOLOGY","$8,602.20 ",,
CLEAR CREEK ISD,2018-2019,Social Sentinel,42205,7/24/18,"SOCIAL SENTINEL - ANNUAL PERIOD ONE - SE RVICE SOCIAL SENTINEL, INC. - PART#: A-SERVFP-1 CONTRACT NAME: TIPS - TECHNOLOGY","$55,914 ",,"""The Clear Creek Independent School District discontinued the use of Social Sentinel in its first year. The District determined the service just did not meet our needs and we were receiving far more stronger information through our anonymous tip line. We are not using any social media monitoring or email service at this time."" ""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? Following the Santa Fe High School tragedy, which is a neighboring school district from Clear Creek ISD, we explored ways to identify potential threats to the school system that may present themselves through social media. I do not recall of a particular person who introduced us to this service. Attached you will find documents related to the contract.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Clear Creek ISD did not receive information that was helpful which is why it terminated the service within the first year of use.  We found the use of an anonymous reporting system to be of great value which is what we use today.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? See above.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? No
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? No, we are not actively monitoring student social media accounts or emails. If information is shared to us through our Anonymous Alerts system and warrants follow up, we will investigate. However, Clear Creek ISD is not monitoring students‚' social media or district email accounts.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Since we don‚'t monitor their social media accounts or email, no notification is necessary.
What policies did/do you have in place specifically governing the use of this technology by District officials? We are  not using this technology.
Who all has/had access to reports/alerts generated by this technology? Director of Safe Schools had access to Social Sentinel.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? No.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? No
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. No""
-Elaina Polsen, Chief Communications Officer"
CLINT ISD,2015-2016,Gaggle,11712,12/11/15,QUOTE: 611868 - ITEM- 8016 ANNUAL MAINTENANCE FOR ALL USERS & SUBSTITUES,"$15,750 ","Mentions Securly on Technology page of their website, and on Teacher Tech Tools website under ""Administrative EdTech Tools""",
CLINT ISD,2016-2017,Gaggle,11511,12/1/16,ANNUAL MAINTENANCE - EMAIL ARC,"$6,300 ",,
CLINT ISD,2019-2020,Securly,11222,1/29/20,SECURLY SOFTWARE,"$47,983.75 ",,
COMAL ISD,2018-2019,Social Sentinel,23935,7/12/18,SOCIAL SENTINEL COMMAND CENTER SOFTWARE SERVICES. ANNUAL PERIOD 7/1/18-6/30/19.,"$36,800 ",,
COMMERCE ISD,2016-2017,Go Guardian,1606,11/4/16,Neverware cloudready licenses for Go Guardian use,$300 ,,"""For the record - Community ISD is currently in contract with Securly as part of Community ISD‚'s Acceptable Use Policy (AUP). Securly is installed on all Community ISD-issued student devices. This written statement will serve as Community ISD‚'s only comment on the matter at this time."" - Cooper Welch, Communications Supervisor"
COMMERCE ISD,2016-2017,Go Guardian,1606,8/31/16,Go Guardian for Teachers,"$1,785 ","Q&A page of Commerce ISD digital learning site says ""Q: Are we supposed to monitor GoGuardian only while our students are physically in our classrooms? (from a secondary teacher) A: In the regular classroom environment, yes, you only need to monitor when your students are physically in the classroom. Please set your classrooms to record during the week day from bell to bell."" Chromebook agreement on Commerce ISD digital learning page says ""Chromebooks are monitored, filtered, and tracked at all times by CISD.""",
COMMUNITY ISD,2017-2018,Securly,2262,8/21/17,SECURLY ANYWHERE FILTER,"$11,275 ",,
CONROE ISD,2016-2017,Go Guardian,59764,2/6/17,A8976509 : GO GUARDIAN FOR ADMIN SUBSCTIPTION LICENSE,$16.40 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/11/16,DIR-SDD-1951(R) GO GUARDIAN FOR ADMINISTRATOR YR; QTY. 1-499; MODEL #A8976506,$11.79 ,,"""Conroe ISD used GoGuardian in 2015 to manage the filtering settings on a set of Chromebooks purchased as part of a grant. The only current use of GoGuardian in Conroe ISD is in our Disciplinary Alternative Education Program so the teachers can monitor the students‚' screens as they work on their assignments in different subjects."" - Sarah Blakelock, Director of Communications"
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2 YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2 YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$11.79 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$11.79 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$11.79 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$11.79 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$11.79 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$23.58 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,8/15/16,A8976506 GO GUARDIAN 2YR,$35.37 ,,
CONROE ISD,2016-2017,Go Guardian,59764,9/13/16,A8976506 DIR SDD 1951 GO GUARDIAN FOR ADMIN,$23.58 ,,
CONROE ISD,2017-2018,Go Guardian,61580,3/28/18,GG-TCR1Y-000001 GO GUARDIAN FOR TEACHERS SUBSCRIPTION LICENSE UNSPSC 43233205,$86.40 ,,
CONROE ISD,2018-2019,Go Guardian,62837,8/6/18,GO-GUARDIAN FOR TEACHERS-SUBSCRIPTION LICENSE (1 YEAR) CDW # 4159244,"$1,152 ",,
CONROE ISD,2019-2020,Go Guardian,64799,8/6/19,GO-GUARDIAN FOR TEACHERS-SUBSCRIPTION LICENSE (1 YEAR) CDW # 4159244,"$1,152 ",,
COPPELL ISD,2019-2020,Gaggle,13218,9/17/19,Gaggle safety management for Google students,"$1,775 ",,
CORPUS CHRISTI ISD,2017-2018,Gaggle,38014,8/9/17,Gaggle Safety Management,"$7,833 ",,"""Gaggle is one of a number of tools  that helps us monitor risk to student safety, bullying, gang activity, pornography, mentions of drug or alcohol, and abuse of school policies. It also allows for a rapid response to self-harm or other outcries. While we cannot discuss specific student matters, we appreciate tools that help us foster safety on our campuses.

The system monitors high school students‚' district email and files in their Google Drive, as well as middle school students‚' Google Drive files. Campus and district leaders who would be involved in incident response (such as principal, counselor, etc.) have access to the reports and alerts relevant to them.

CCISD‚'s student handbook states, 'All communication and information transmitted by, received from, or stored in district systems are the property of the district and will not be considered confidential and may be monitored at any time by designated district staff to ensure appropriate use for educational purposes.' Additionally, as part of registration paperwork, all families sign the district‚'s Acceptable Use of Technology agreement, which also reminds users that district systems may be monitored to ensure appropriate use."" - Leanne Libby, Chief Communications Officer"
CORPUS CHRISTI ISD,2018-2019,Gaggle,37318,9/7/18,Gaggle Safety Management for,"$49,500 ",,"""Gaggle is one of a number of tools  that helps us monitor risk to student safety, bullying, gang activity, pornography, mentions of drug or alcohol, and abuse of school policies. It also allows for a rapid response to self-harm or other outcries. While we cannot discuss specific student matters, we appreciate tools that help us foster safety on our campuses.

The system monitors high school students‚' district email and files in their Google Drive, as well as middle school students‚' Google Drive files. Campus and district leaders who would be involved in incident response (such as principal, counselor, etc.) have access to the reports and alerts relevant to them.

CCISD‚'s student handbook states, 'All communication and information transmitted by, received from, or stored in district systems are the property of the district and will not be considered confidential and may be monitored at any time by designated district staff to ensure appropriate use for educational purposes.' Additionally, as part of registration paperwork, all families sign the district‚'s Acceptable Use of Technology agreement, which also reminds users that district systems may be monitored to ensure appropriate use."" - Leanne Libby, Chief Communications Officer"
CORPUS CHRISTI ISD,2019-2020,Gaggle,36618,9/5/19,Gaggle Safety Management for,"$49,500 ",,"""Gaggle is one of a number of tools  that helps us monitor risk to student safety, bullying, gang activity, pornography, mentions of drug or alcohol, and abuse of school policies. It also allows for a rapid response to self-harm or other outcries. While we cannot discuss specific student matters, we appreciate tools that help us foster safety on our campuses.

The system monitors high school students‚' district email and files in their Google Drive, as well as middle school students‚' Google Drive files. Campus and district leaders who would be involved in incident response (such as principal, counselor, etc.) have access to the reports and alerts relevant to them.

CCISD‚'s student handbook states, 'All communication and information transmitted by, received from, or stored in district systems are the property of the district and will not be considered confidential and may be monitored at any time by designated district staff to ensure appropriate use for educational purposes.' Additionally, as part of registration paperwork, all families sign the district‚'s Acceptable Use of Technology agreement, which also reminds users that district systems may be monitored to ensure appropriate use."" - Leanne Libby, Chief Communications Officer"
COVINGTON ISD,2018-2019,Gaggle,295,9/14/18,Email Archiving&Acct Migration,"$1,050 ",,
CRANDALL ISD,2015-2016,Go Guardian,3453,12/16/15,GO GUARDIAN-SUBSCRIPTION LICENSE FOR 1YR.,$600 ,,
CRANE ISD,2015-2016,Gaggle,1148,9/17/15,STUDENT EMAIL MONITORING,"$3,500 ",,
CRANE ISD,2016-2017,Gaggle,1116,9/15/16,FILTERING RENEWAL,"$4,463 ",,
CRANE ISD,2016-2017,Gaggle,1116,9/15/16,FILTERING RENEWAL,"$4,463 ",,
CRANE ISD,2017-2018,Gaggle,1156,9/14/17,RENEWAL OF SAFETY FIL,"$4,463 ",,
CRANE ISD,2018-2019,Gaggle,1151,10/15/18,SERVICE RENEWAL,"$4,725 ",,
CRANE ISD,2019-2020,Gaggle,1174,11/18/19,SAFETY MANAGEMENT F,"$4,725 ",,
CYPRESS-FAIRBANKS ISD,2015-2016,Gaggle,113936,9/8/15,STUDENT EMAIL MONITORING,"$3,500 ",,"""Cypress-Fairbanks ISD has not purchased this technology."" ""Our records do not indicate that a payment was made to Gaggle for student email monitoring for the amount and date that you have indicated. If you are able to provide a copy of the contract, I would be glad to look into this further."" -Leslie Francis, Assistant Superintendant for Communication and Community Relations"
DALLAS ISD,2017-2018,Go Guardian,156832,1/9/18,GoGuardian Admin/Teacher/Fleet Bundle,"$2,494.17 ",,"""Dallas ISD is not a Go Guardian customer. The district used Securly at small scale for year as part of our participation in the oneMilion Program since the tool was provided as part of a grant.  We have since migrated to a K12 content filtering tool called iBoss. We do not monitor students social media accounts."" - Robyn Harris, Director of News and Information"
DALLAS ISD,2018-2019,Securly,155119,8/29/18,ARL-AMPLIFIED IT-Web filter for Verizon Innovative Learning IPads-R. ANTOINE-TERM: 8/27/18-8/26/19-QUOTE #00106270---SECURLY-1YR-050 SECURITY ANYWHERE WEB FILTERING,"$19,617.50 ",,
DAYTON ISD,2018-2019,Securly,5418,7/19/18,"*BOARD APPROVED 7/17/2018* SECURLY ANYWHERE FILTER, CLOUD-BASED WEB CONTENT FILTERING SERVICE. 1 YEAR TERM 8/01/2018 -7/31/2019 PLEASE RETURN PO TO DAISY CARY - THANK YOU!","$22,500 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? As a school district, we are required to maintain a content filter for our Internet traffic to meet CIPA compliance. We learned about Securly in 2017 and took it for a test drive! We were impressed with many of its features and ease of use, and implemented it a few months later.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Securly is used for our content filter. It also has the ability to identify certain triggers in our student email and will forward those triggers (verbiage that includes weapons, fights, bullying, suicidal expression, etc.) This product also allows us to place our lost/stolen/unreturned devices in LOST mode which will shut down access and provide us with a GPS locator.   
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? We still use this product.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? This is used for all Internet traffic and all Chromebooks.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? We have used Social Sentinel for social media monitoring.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? There is not an ""opt out"" for content filtering as it is a requirement for districts to utilize content filtering or lose E-Rate funding.
What policies did/do you have in place specifically governing the use of this technology by District officials? This technology is implemented and managed by the Executive Director of Technology and the Network Administrator. No one else has access to the back end of the content filtering/monitoring functionality.
Who all has/had access to reports/alerts generated by this technology? Please see Q#7. When Securly sends a notification regarding a self-harm or harm-to-others concern, the Executive Director of Technology forwards the alert to the proper campus administrators for follow-up.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? I KNOW that this service has alerted us to several students talking about and/or threatening self-harm. I firmly believe that our interventions have prevented multiple tragedies.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? We piloted Securly Classroom last spring and plan to implement this fall. It is an add-on module, totally separate from the content filter, that provides teachers with the ability to see and lock their students' Chromebook screens while they are giving instructions, and provides an easier way to push out URLs for instruction. During the pilot phase, it greatly increased students' time on task and minimized their tendency to open non-instructional websites.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. Securly has not led to any disciplinary actions in our school district."" -Travis Young, Assistant Superintendant of Student Services"
DECATUR ISD,2016-2017,Gaggle,3135,7/12/16,gaggle learning management system service from 7/1/2016 to 6/30/2017,"$9,135 ",,
DECATUR ISD,2017-2018,Gaggle,3344,5/9/18,student email management,"$24,475 ",,
DECATUR ISD,2017-2018,Gaggle,3344,8/10/17,gaggle student email,"$3,303 ",,
DECATUR ISD,2017-2018,Gaggle,3344,8/10/17,gaggle student email,"$7,197 ",,
DEL VALLE ISD,2015-2016,Go Guardian,11559,10/22/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$625.60 ,,
DEL VALLE ISD,2015-2016,Go Guardian,11559,10/26/15,GS license: Go guardian for teachers - classroom management solution.,"$3,731 ",,
DEL VALLE ISD,2015-2016,Go Guardian,11559,11/12/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$155.84 ,,
DEL VALLE ISD,2015-2016,Go Guardian,11559,11/19/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$487.50 ,,
DEL VALLE ISD,2015-2016,Go Guardian,11559,7/23/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$1,137.50 ",,
DEL VALLE ISD,2015-2016,Go Guardian,11559,9/22/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$298 ,,
DEL VALLE ISD,2015-2016,Go Guardian,11559,9/22/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$572 ,,
DEL VALLE ISD,2015-2016,Go Guardian,11559,9/9/15,"GS License: GoGuardian Chromebook monitoring, management and anti-theft",$179 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,4/18/17,"Go Guardian Administrators, 1yr",$5 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,4/18/17,"Go Guardian Administrators, 1yr",$5 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,4/20/17,"Go Guardian Administrators, 1yr",$5 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,5/12/17,"Go Guardian Administrators, 1yr",$3.20 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,5/9/17,"Go Guardian Administrators, 1yr",$19.20 ,,
DEL VALLE ISD,2016-2017,Go Guardian,11278,9/30/16,annual licenses go guardian teacher DVHS- Annual licenses Gogaurdian teacher,"$7,038.90 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,1/29/18,HS- GO Guardian Chromebook Mon,"$1,050 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,1/8/18,"Go Guardian Administrators, 1yr",$105 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,1/8/18,Popham - GO Guardian Chromeboo,$105 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,11/6/17,"Go Guardian Administrators, 1yr",$5.25 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,11/8/17,"Go Guardian Administrators, 1yr",$15.75 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,6/27/17,"GS License: GoGuardian Chromebook monitoring, management and anti-theft","$12,650 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,7/18/17,"Go Guardian Administrators, 1yr",$656.25 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,7/18/17,Go Guardian Teachers,$656.25 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,7/20/17,"Go Guardian Administrators, 1yr",$33 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,7/24/17,"Go Guardian Administrators, 1yr","$6,499 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,7/24/17,GoGuardian Teacher 1 yr,"$5,286.50 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,8/22/17,"Go Guardian Administrators, 1yr",$306.60 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,8/4/17,"Go Guardian Administrators, 1yr",$33 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,9/19/17,"Go Guardian Administrators, 1yr","$2,037 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,9/19/17,"Go Guardian Administrators, 1yr",$945 ,,
DEL VALLE ISD,2017-2018,Go Guardian,11216,9/19/17,GoGuardian for Teachers,"$2,037 ",,
DEL VALLE ISD,2017-2018,Go Guardian,11216,9/19/17,GoGuardian for Teachers,$945 ,,
DONNA ISD,2015-2016,Gaggle,15334,9/28/15,Payment needed for Gaggle . Invoice #29744 Service start date was 7/1/2008-6/30/2009 Payment never processed Who: Technology Dept. What: Gaggle Where: DISD When: 7/1/2008-06-/30/2009 why: Payment needs to be processed. Invoice musthavebeenoverlookedandpaymentwasnot,"$26,088 ",,
DUMAS ISD,2016-2017,Securly,4536,7/13/16,Securly Anywhere FilteringFirst of 3 Annual Payments,"$8,140 ",,
DUMAS ISD,2017-2018,Securly,4319,7/3/17,Inv 37890 2nd pymnt of Securly,"$8,140 ",,
DUMAS ISD,2018-2019,Securly,4300,7/10/18,Securly - Final payment,"$8,140 ",,
EAST CHAMBERS ISD,2019-2020,Social Sentinel,1535,8/12/19,Social Sentinel Consortium,"$2,795.35 ",,
EDGEWOOD ISD,2017-2018,Gaggle,988,8/16/17,ONLINE LEARNING,"$35,150 ","Confirmed they used to use, but said they don't anymore. Awaiting callback from finance person.",
EL CAMPO ISD,2017-2018,Gaggle,3675,9/14/17,ALR-WEBHOST/STUDENT EMAIL,"$21,448 ",,
EL CAMPO ISD,2018-2019,Gaggle,3682,10/18/18,ALR Student Safe Email,"$25,220 ",,
EL CAMPO ISD,2018-2019,Go Guardian,3682,3/29/19,10084644 GO GUARDIAN SOFTWAR,"$9,887.28 ",,
EL CAMPO ISD,2019-2020,Gaggle,3612,9/30/19,38591 ALR - Student Email,"$5,264 ",,
EL CAMPO ISD,2019-2020,Gaggle,3612,9/30/19,38591 ALR - Student Email,"$5,264 ",,
EL CAMPO ISD,2019-2020,Gaggle,3612,9/30/19,38591 ALR - Student Email,"$5,264 ",,
EL CAMPO ISD,2019-2020,Gaggle,3612,9/30/19,38591 ALR - Student Email,"$5,264 ",,
EL CAMPO ISD,2019-2020,Gaggle,3612,9/30/19,38591 ALR - Student Email,"$5,264 ",,
